Metric,Value
Accuracy,0.8600319183540701
Precision (macro),0.16291551410126454
Recall (macro),0.25888090168523986
F1-score (macro),0.1964549833451569
AUC-ROC (macro),0.6446717531761925
Precision (BENIGN),0.9010613159856026
Recall (BENIGN),0.9928004430496585
F1-score (BENIGN),0.9447089466351688
Precision (Bot),0.0
Recall (Bot),0.0
F1-score (Bot),0.0
Precision (DDoS),0.0
Recall (DDoS),0.0
F1-score (DDoS),0.0
Precision (DoS GoldenEye),0.0
Recall (DoS GoldenEye),0.0
F1-score (DoS GoldenEye),0.0
Precision (DoS Hulk),0.5781501610305958
Recall (DoS Hulk),0.890413082228939
F1-score (DoS Hulk),0.7010831426392068
Precision (DoS Slowhttptest),0.0
Recall (DoS Slowhttptest),0.0
F1-score (DoS Slowhttptest),0.0
Precision (DoS slowloris),0.0
Recall (DoS slowloris),0.0
F1-score (DoS slowloris),0.0
Precision (FTP-Patator),0.4645212345027697
Recall (FTP-Patator),1.0
F1-score (FTP-Patator),0.6343659942363112
Precision (Heartbleed),0.5
Recall (Heartbleed),1.0
F1-score (Heartbleed),0.6666666666666666
Precision (Infiltration),0.0
Recall (Infiltration),0.0
F1-score (Infiltration),0.0
Precision (PortScan),0.0
Recall (PortScan),0.0
F1-score (PortScan),0.0
Precision (SSH-Patator),0.0
Recall (SSH-Patator),0.0
F1-score (SSH-Patator),0.0
Precision (Web Attack � Brute Force),0.0
Recall (Web Attack � Brute Force),0.0
F1-score (Web Attack � Brute Force),0.0
Precision (Web Attack � Sql Injection),0.0
Recall (Web Attack � Sql Injection),0.0
F1-score (Web Attack � Sql Injection),0.0
Precision (Web Attack � XSS),0.0
Recall (Web Attack � XSS),0.0
F1-score (Web Attack � XSS),0.0
