Metric,Value
Accuracy,0.40451061966279833
Precision (macro),0.9417488621151271
Recall (macro),0.2666513374722158
F1-score (macro),0.2149368962452991
AUC-ROC (macro),0.7351403852655046
Precision (Backdoor),1.0
Recall (Backdoor),1.0
F1-score (Backdoor),1.0
Precision (DDoS_HTTP),1.0
Recall (DDoS_HTTP),0.0
F1-score (DDoS_HTTP),0.0
Precision (DDoS_ICMP),0.12623293172690764
Recall (DDoS_ICMP),1.0
F1-score (DDoS_ICMP),0.22416842585724886
Precision (DDoS_TCP),1.0
Recall (DDoS_TCP),0.0
F1-score (DDoS_TCP),0.0
Precision (DDoS_UDP),1.0
Recall (DDoS_UDP),0.9997700620832375
F1-score (DDoS_UDP),0.9998850178222375
Precision (Fingerprinting),1.0
Recall (Fingerprinting),0.0
F1-score (Fingerprinting),0.0
Precision (MITM),1.0
Recall (MITM),0.0
F1-score (MITM),0.0
Precision (Normal),1.0
Recall (Normal),1.0
F1-score (Normal),1.0
Precision (Password),1.0
Recall (Password),0.0
F1-score (Password),0.0
Precision (Port_Scanning),1.0
Recall (Port_Scanning),0.0
F1-score (Port_Scanning),0.0
Precision (Ransomware),1.0
Recall (Ransomware),0.0
F1-score (Ransomware),0.0
Precision (SQL_injection),1.0
Recall (SQL_injection),0.0
F1-score (SQL_injection),0.0
Precision (Uploading),1.0
Recall (Uploading),0.0
F1-score (Uploading),0.0
Precision (Vulnerability_scanner),1.0
Recall (Vulnerability_scanner),0.0
F1-score (Vulnerability_scanner),0.0
Precision (XSS),1.0
Recall (XSS),0.0
F1-score (XSS),0.0
