Metric,Value
Accuracy,0.8571909507137085
Precision (macro),0.9750632879333561
Recall (macro),0.1111111111111111
F1-score (macro),0.09285213167119591
Precision (apache2),1.0
Recall (apache2),0.0
F1-score (apache2),0.0
Precision (back),1.0
Recall (back),0.0
F1-score (back),0.0
Precision (buffer_overflow),1.0
Recall (buffer_overflow),0.0
F1-score (buffer_overflow),0.0
Precision (ftp_write),1.0
Recall (ftp_write),0.0
F1-score (ftp_write),0.0
Precision (guess_passwd),1.0
Recall (guess_passwd),0.0
F1-score (guess_passwd),0.0
Precision (httptunnel),1.0
Recall (httptunnel),0.0
F1-score (httptunnel),0.0
Precision (imap),1.0
Recall (imap),0.0
F1-score (imap),0.0
Precision (ipsweep),1.0
Recall (ipsweep),0.0
F1-score (ipsweep),0.0
Precision (land),1.0
Recall (land),0.0
F1-score (land),0.0
Precision (loadmodule),1.0
Recall (loadmodule),0.0
F1-score (loadmodule),0.0
Precision (mailbomb),1.0
Recall (mailbomb),0.0
F1-score (mailbomb),0.0
Precision (mscan),1.0
Recall (mscan),0.0
F1-score (mscan),0.0
Precision (multihop),1.0
Recall (multihop),0.0
F1-score (multihop),0.0
Precision (named),1.0
Recall (named),0.0
F1-score (named),0.0
Precision (neptune),0.8178657395025408
Recall (neptune),1.0
F1-score (neptune),0.8998087391496248
Precision (nmap),1.0
Recall (nmap),0.0
F1-score (nmap),0.0
Precision (normal),1.0
Recall (normal),1.0
F1-score (normal),1.0
Precision (perl),1.0
Recall (perl),0.0
F1-score (perl),0.0
Precision (phf),1.0
Recall (phf),0.0
F1-score (phf),0.0
Precision (pod),1.0
Recall (pod),0.0
F1-score (pod),0.0
Precision (portsweep),1.0
Recall (portsweep),0.0
F1-score (portsweep),0.0
Precision (processtable),1.0
Recall (processtable),0.0
F1-score (processtable),0.0
Precision (ps),1.0
Recall (ps),0.0
F1-score (ps),0.0
Precision (rootkit),1.0
Recall (rootkit),0.0
F1-score (rootkit),0.0
Precision (saint),1.0
Recall (saint),0.0
F1-score (saint),0.0
Precision (satan),0.2844126260982753
Recall (satan),1.0
F1-score (satan),0.4428680010134278
Precision (sendmail),1.0
Recall (sendmail),0.0
F1-score (sendmail),0.0
Precision (smurf),1.0
Recall (smurf),0.0
F1-score (smurf),0.0
Precision (snmpgetattack),1.0
Recall (snmpgetattack),0.0
F1-score (snmpgetattack),0.0
Precision (snmpguess),1.0
Recall (snmpguess),0.0
F1-score (snmpguess),0.0
Precision (spy),1.0
Recall (spy),0.0
F1-score (spy),0.0
Precision (sqlattack),1.0
Recall (sqlattack),0.0
F1-score (sqlattack),0.0
Precision (teardrop),1.0
Recall (teardrop),0.0
F1-score (teardrop),0.0
Precision (udpstorm),1.0
Recall (udpstorm),0.0
F1-score (udpstorm),0.0
Precision (warezclient),1.0
Recall (warezclient),0.0
F1-score (warezclient),0.0
Precision (warezmaster),1.0
Recall (warezmaster),0.0
F1-score (warezmaster),0.0
Precision (worm),1.0
Recall (worm),0.0
F1-score (worm),0.0
Precision (xlock),1.0
Recall (xlock),0.0
F1-score (xlock),0.0
Precision (xsnoop),1.0
Recall (xsnoop),0.0
F1-score (xsnoop),0.0
Precision (xterm),1.0
Recall (xterm),1.0
F1-score (xterm),1.0
