Metric,Value
Accuracy,0.9817587622997479
Precision (macro),0.8862649504917652
Recall (macro),0.7447986824876428
F1-score (macro),0.7757873955469179
AUC-ROC (macro),0.9945846432780346
Precision (BENIGN),0.9851945347259474
Recall (BENIGN),0.9937361944835225
F1-score (BENIGN),0.989446930419461
Precision (Bot),0.8389423076923077
Recall (Bot),0.6017241379310345
F1-score (Bot),0.7008032128514057
Precision (DDoS),0.9991698661409153
Recall (DDoS),0.994525924395786
F1-score (DDoS),0.9968424866711528
Precision (DoS GoldenEye),0.9948353776630084
Recall (DoS GoldenEye),0.9890885750962772
F1-score (DoS GoldenEye),0.9919536530415192
Precision (DoS Hulk),0.9533659549228944
Recall (DoS Hulk),0.9965899403239556
F1-score (DoS Hulk),0.9744988821946876
Precision (DoS Slowhttptest),0.9532587228439764
Recall (DoS Slowhttptest),0.9354005167958657
F1-score (DoS Slowhttptest),0.944245190740137
Precision (DoS slowloris),0.9485549132947977
Recall (DoS slowloris),0.9915407854984895
F1-score (DoS slowloris),0.9695716395864106
Precision (FTP-Patator),0.9965870307167235
Recall (FTP-Patator),0.9948892674616695
F1-score (FTP-Patator),0.9957374254049446
Precision (Heartbleed),1.0
Recall (Heartbleed),1.0
F1-score (Heartbleed),1.0
Precision (Infiltration),1.0
Recall (Infiltration),0.5
F1-score (Infiltration),0.6666666666666666
Precision (PortScan),0.9547636632200887
Recall (PortScan),0.765167209233501
F1-score (PortScan),0.8495153606045672
Precision (SSH-Patator),0.996629213483146
Recall (SSH-Patator),0.9125514403292181
F1-score (SSH-Patator),0.9527389903329753
Precision (Web Attack � Brute Force),0.6726726726726727
Recall (Web Attack � Brute Force),0.47058823529411764
F1-score (Web Attack � Brute Force),0.553770086526576
Precision (Web Attack � Sql Injection),0.0
Recall (Web Attack � Sql Injection),0.0
F1-score (Web Attack � Sql Injection),0.0
Precision (Web Attack � XSS),1.0
Recall (Web Attack � XSS),0.02617801047120419
F1-score (Web Attack � XSS),0.0510204081632653
