Metric,Value
Accuracy,0.9999343120832923
Precision (macro),0.9999302649930264
Recall (macro),0.9999337309476475
F1-score (macro),0.9999319632480107
AUC-ROC (macro),1.0
Precision (Backdoor),1.0
Recall (Backdoor),1.0
F1-score (Backdoor),1.0
Precision (DDoS_HTTP),1.0
Recall (DDoS_HTTP),1.0
F1-score (DDoS_HTTP),1.0
Precision (DDoS_ICMP),1.0
Recall (DDoS_ICMP),1.0
F1-score (DDoS_ICMP),1.0
Precision (DDoS_TCP),1.0
Recall (DDoS_TCP),1.0
F1-score (DDoS_TCP),1.0
Precision (DDoS_UDP),1.0
Recall (DDoS_UDP),1.0
F1-score (DDoS_UDP),1.0
Precision (Fingerprinting),1.0
Recall (Fingerprinting),1.0
F1-score (Fingerprinting),1.0
Precision (MITM),1.0
Recall (MITM),1.0
F1-score (MITM),1.0
Precision (Normal),1.0
Recall (Normal),1.0
F1-score (Normal),1.0
Precision (Password),1.0
Recall (Password),1.0
F1-score (Password),1.0
Precision (Port_Scanning),1.0
Recall (Port_Scanning),1.0
F1-score (Port_Scanning),1.0
Precision (Ransomware),1.0
Recall (Ransomware),1.0
F1-score (Ransomware),1.0
Precision (SQL_injection),1.0
Recall (SQL_injection),1.0
F1-score (SQL_injection),1.0
Precision (Uploading),1.0
Recall (Uploading),1.0
F1-score (Uploading),1.0
Precision (Vulnerability_scanner),1.0
Recall (Vulnerability_scanner),0.9990059642147118
F1-score (Vulnerability_scanner),0.9995027349577325
Precision (XSS),0.9989539748953975
Recall (XSS),1.0
F1-score (XSS),0.9994767137624281
