Metric,Value
Accuracy,0.9981147320226232
Precision (macro),0.8863753668903986
Recall (macro),0.8546745751053098
F1-score (macro),0.8574663213582585
Precision (apache2),1.0
Recall (apache2),0.9932432432432432
F1-score (apache2),0.9966101694915255
Precision (back),0.9962121212121212
Recall (back),1.0
F1-score (back),0.9981024667931688
Precision (buffer_overflow),0.875
Recall (buffer_overflow),0.7
F1-score (buffer_overflow),0.7777777777777777
Precision (ftp_write),0.3333333333333333
Recall (ftp_write),0.5
F1-score (ftp_write),0.4
Precision (guess_passwd),0.9884615384615385
Recall (guess_passwd),1.0
F1-score (guess_passwd),0.9941972920696325
Precision (httptunnel),1.0
Recall (httptunnel),0.9629629629629629
F1-score (httptunnel),0.9811320754716981
Precision (imap),1.0
Recall (imap),1.0
F1-score (imap),1.0
Precision (ipsweep),1.0
Recall (ipsweep),1.0
F1-score (ipsweep),1.0
Precision (land),1.0
Recall (land),1.0
F1-score (land),1.0
Precision (loadmodule),1.0
Recall (loadmodule),0.5
F1-score (loadmodule),0.6666666666666666
Precision (mailbomb),1.0
Recall (mailbomb),1.0
F1-score (mailbomb),1.0
Precision (mscan),0.995
Recall (mscan),1.0
F1-score (mscan),0.9974937343358395
Precision (multihop),1.0
Recall (multihop),0.8
F1-score (multihop),0.888888888888889
Precision (named),0.3333333333333333
Recall (named),0.3333333333333333
F1-score (named),0.3333333333333333
Precision (neptune),1.0
Recall (neptune),0.999890996293874
F1-score (neptune),0.999945495176323
Precision (nmap),1.0
Recall (nmap),1.0
F1-score (nmap),1.0
Precision (normal),0.9996107939802802
Recall (normal),0.9999351112841477
F1-score (normal),0.9997729263308139
Precision (perl),1.0
Recall (perl),1.0
F1-score (perl),1.0
Precision (phf),1.0
Recall (phf),1.0
F1-score (phf),1.0
Precision (pod),1.0
Recall (pod),1.0
F1-score (pod),1.0
Precision (portsweep),0.9935587761674718
Recall (portsweep),0.9983818770226537
F1-score (portsweep),0.9959644874899111
Precision (processtable),0.9927536231884058
Recall (processtable),1.0
F1-score (processtable),0.9963636363636363
Precision (ps),1.0
Recall (ps),0.3333333333333333
F1-score (ps),0.5
Precision (rootkit),0.0
Recall (rootkit),0.0
F1-score (rootkit),0.0
Precision (saint),0.7534246575342466
Recall (saint),0.859375
F1-score (saint),0.8029197080291972
Precision (satan),0.9918509895227008
Recall (satan),0.9748283752860412
F1-score (satan),0.9832660126947488
Precision (sendmail),0.5
Recall (sendmail),0.6666666666666666
F1-score (sendmail),0.5714285714285715
Precision (smurf),0.9954887218045113
Recall (smurf),1.0
F1-score (smurf),0.9977392614920875
Precision (snmpgetattack),1.0
Recall (snmpgetattack),1.0
F1-score (snmpgetattack),1.0
Precision (snmpguess),1.0
Recall (snmpguess),0.9848484848484849
F1-score (snmpguess),0.9923664122137403
Precision (spy),1.0
Recall (spy),0.0
F1-score (spy),0.0
Precision (sqlattack),1.0
Recall (sqlattack),0.0
F1-score (sqlattack),0.0
Precision (teardrop),1.0
Recall (teardrop),1.0
F1-score (teardrop),1.0
Precision (udpstorm),1.0
Recall (udpstorm),0.0
F1-score (udpstorm),0.0
Precision (warezclient),1.0
Recall (warezclient),1.0
F1-score (warezclient),1.0
Precision (warezmaster),0.9948186528497409
Recall (warezmaster),0.9948186528497409
F1-score (warezmaster),0.9948186528497409
Precision (worm),1.0
Recall (worm),0.0
F1-score (worm),0.0
Precision (xlock),1.0
Recall (xlock),0.5
F1-score (xlock),0.6666666666666666
Precision (xsnoop),0.5
Recall (xsnoop),1.0
F1-score (xsnoop),0.6666666666666666
Precision (xterm),0.6666666666666666
Recall (xterm),0.6666666666666666
F1-score (xterm),0.6666666666666666
