Metric,Value
Accuracy,0.9999343120832923
Precision (macro),0.9995869578081543
Recall (macro),0.999051085568327
F1-score (macro),0.9993152147643871
AUC-ROC (macro),0.9995232439677719
Precision (Backdoor),1.0
Recall (Backdoor),1.0
F1-score (Backdoor),1.0
Precision (DDoS_HTTP),1.0
Recall (DDoS_HTTP),1.0
F1-score (DDoS_HTTP),1.0
Precision (DDoS_ICMP),0.999618320610687
Recall (DDoS_ICMP),1.0
F1-score (DDoS_ICMP),0.9998091238786028
Precision (DDoS_TCP),1.0
Recall (DDoS_TCP),1.0
F1-score (DDoS_TCP),1.0
Precision (DDoS_UDP),1.0
Recall (DDoS_UDP),0.9996551724137931
F1-score (DDoS_UDP),0.9998275564752543
Precision (Fingerprinting),0.9941860465116279
Recall (Fingerprinting),1.0
F1-score (Fingerprinting),0.9970845481049563
Precision (MITM),1.0
Recall (MITM),0.9861111111111112
F1-score (MITM),0.9930069930069929
Precision (Normal),1.0
Recall (Normal),1.0
F1-score (Normal),1.0
Precision (Password),1.0
Recall (Password),1.0
F1-score (Password),1.0
Precision (Port_Scanning),1.0
Recall (Port_Scanning),1.0
F1-score (Port_Scanning),1.0
Precision (Ransomware),1.0
Recall (Ransomware),1.0
F1-score (Ransomware),1.0
Precision (SQL_injection),1.0
Recall (SQL_injection),1.0
F1-score (SQL_injection),1.0
Precision (Uploading),1.0
Recall (Uploading),1.0
F1-score (Uploading),1.0
Precision (Vulnerability_scanner),1.0
Recall (Vulnerability_scanner),1.0
F1-score (Vulnerability_scanner),1.0
Precision (XSS),1.0
Recall (XSS),1.0
F1-score (XSS),1.0
