Metric,Value
Accuracy,0.9998316725020199
Precision (macro),0.9780368350902704
Recall (macro),0.9873176973313618
F1-score (macro),0.9787002323417102
Precision (apache2),1.0
Recall (apache2),1.0
F1-score (apache2),1.0
Precision (back),0.9961832061068703
Recall (back),0.9923954372623575
F1-score (back),0.9942857142857143
Precision (buffer_overflow),1.0
Recall (buffer_overflow),0.9
F1-score (buffer_overflow),0.9473684210526316
Precision (ftp_write),1.0
Recall (ftp_write),1.0
F1-score (ftp_write),1.0
Precision (guess_passwd),1.0
Recall (guess_passwd),1.0
F1-score (guess_passwd),1.0
Precision (httptunnel),1.0
Recall (httptunnel),1.0
F1-score (httptunnel),1.0
Precision (imap),1.0
Recall (imap),1.0
F1-score (imap),1.0
Precision (ipsweep),1.0
Recall (ipsweep),1.0
F1-score (ipsweep),1.0
Precision (land),1.0
Recall (land),1.0
F1-score (land),1.0
Precision (loadmodule),1.0
Recall (loadmodule),1.0
F1-score (loadmodule),1.0
Precision (mailbomb),1.0
Recall (mailbomb),1.0
F1-score (mailbomb),1.0
Precision (mscan),1.0
Recall (mscan),1.0
F1-score (mscan),1.0
Precision (multihop),0.7142857142857143
Recall (multihop),1.0
F1-score (multihop),0.8333333333333333
Precision (named),1.0
Recall (named),1.0
F1-score (named),1.0
Precision (neptune),1.0
Recall (neptune),1.0
F1-score (neptune),1.0
Precision (nmap),1.0
Recall (nmap),1.0
F1-score (nmap),1.0
Precision (normal),1.0
Recall (normal),1.0
F1-score (normal),1.0
Precision (perl),1.0
Recall (perl),1.0
F1-score (perl),1.0
Precision (phf),1.0
Recall (phf),1.0
F1-score (phf),1.0
Precision (pod),1.0
Recall (pod),1.0
F1-score (pod),1.0
Precision (portsweep),1.0
Recall (portsweep),1.0
F1-score (portsweep),1.0
Precision (processtable),1.0
Recall (processtable),1.0
F1-score (processtable),1.0
Precision (ps),1.0
Recall (ps),1.0
F1-score (ps),1.0
Precision (rootkit),1.0
Recall (rootkit),1.0
F1-score (rootkit),1.0
Precision (saint),1.0
Recall (saint),0.984375
F1-score (saint),0.9921259842519685
Precision (satan),0.9988571428571429
Recall (satan),1.0
F1-score (satan),0.9994282447112636
Precision (sendmail),1.0
Recall (sendmail),1.0
F1-score (sendmail),1.0
Precision (smurf),1.0
Recall (smurf),1.0
F1-score (smurf),1.0
Precision (snmpgetattack),1.0
Recall (snmpgetattack),1.0
F1-score (snmpgetattack),1.0
Precision (snmpguess),1.0
Recall (snmpguess),1.0
F1-score (snmpguess),1.0
Precision (spy),1.0
Recall (spy),0.0
F1-score (spy),0.0
Precision (sqlattack),1.0
Recall (sqlattack),0.0
F1-score (sqlattack),0.0
Precision (teardrop),1.0
Recall (teardrop),1.0
F1-score (teardrop),1.0
Precision (udpstorm),1.0
Recall (udpstorm),0.0
F1-score (udpstorm),0.0
Precision (warezclient),1.0
Recall (warezclient),1.0
F1-score (warezclient),1.0
Precision (warezmaster),1.0
Recall (warezmaster),1.0
F1-score (warezmaster),1.0
Precision (worm),1.0
Recall (worm),0.0
F1-score (worm),0.0
Precision (xlock),1.0
Recall (xlock),1.0
F1-score (xlock),1.0
Precision (xsnoop),0.5
Recall (xsnoop),1.0
F1-score (xsnoop),0.6666666666666666
Precision (xterm),1.0
Recall (xterm),0.6666666666666666
F1-score (xterm),0.8000000000000002
