Metric,Value
Accuracy,0.9994088022772061
Precision (macro),0.9991543620741058
Recall (macro),0.9991612226475683
F1-score (macro),0.9991577178236205
AUC-ROC (macro),0.9998223405063914
Precision (Backdoor),1.0
Recall (Backdoor),0.9996620479891856
F1-score (Backdoor),0.9998309954368768
Precision (DDoS_HTTP),1.0
Recall (DDoS_HTTP),1.0
F1-score (DDoS_HTTP),1.0
Precision (DDoS_ICMP),1.0
Recall (DDoS_ICMP),1.0
F1-score (DDoS_ICMP),1.0
Precision (DDoS_TCP),1.0
Recall (DDoS_TCP),1.0
F1-score (DDoS_TCP),1.0
Precision (DDoS_UDP),1.0
Recall (DDoS_UDP),1.0
F1-score (DDoS_UDP),1.0
Precision (Fingerprinting),0.99609375
Recall (Fingerprinting),0.99609375
F1-score (Fingerprinting),0.99609375
Precision (MITM),1.0
Recall (MITM),1.0
F1-score (MITM),1.0
Precision (Normal),1.0
Recall (Normal),0.9998618402873722
F1-score (Normal),0.9999309153713299
Precision (Password),0.9983316649983317
Recall (Password),1.0
F1-score (Password),0.9991651360828184
Precision (Port_Scanning),1.0
Recall (Port_Scanning),0.9996264475158759
F1-score (Port_Scanning),0.9998131888660562
Precision (Ransomware),1.0
Recall (Ransomware),1.0
F1-score (Ransomware),1.0
Precision (SQL_injection),0.9996759559300065
Recall (SQL_injection),1.0
F1-score (SQL_injection),0.9998379517096094
Precision (Uploading),1.0
Recall (Uploading),0.9996736292428199
F1-score (Uploading),0.9998367879875959
Precision (Vulnerability_scanner),0.9963576158940396
Recall (Vulnerability_scanner),0.996687644915535
F1-score (Vulnerability_scanner),0.9965226030799801
Precision (XSS),0.9968564442892072
Recall (XSS),0.9958129797627355
F1-score (XSS),0.9963344388200384
