Metric,Value
Accuracy,0.9941422030702936
Precision (macro),0.8491754203469647
Recall (macro),0.720316360456092
F1-score (macro),0.7087791636695835
Precision (apache2),1.0
Recall (apache2),0.9932432432432432
F1-score (apache2),0.9966101694915255
Precision (back),0.9961832061068703
Recall (back),0.9923954372623575
F1-score (back),0.9942857142857143
Precision (buffer_overflow),0.8333333333333334
Recall (buffer_overflow),0.5
F1-score (buffer_overflow),0.625
Precision (ftp_write),0.5
Recall (ftp_write),0.5
F1-score (ftp_write),0.5
Precision (guess_passwd),0.9922480620155039
Recall (guess_passwd),0.9961089494163424
F1-score (guess_passwd),0.9941747572815534
Precision (httptunnel),1.0
Recall (httptunnel),0.9259259259259259
F1-score (httptunnel),0.9615384615384615
Precision (imap),0.3333333333333333
Recall (imap),0.5
F1-score (imap),0.4
Precision (ipsweep),0.9959839357429718
Recall (ipsweep),0.9946524064171123
F1-score (ipsweep),0.9953177257525084
Precision (land),0.625
Recall (land),1.0
F1-score (land),0.7692307692307693
Precision (loadmodule),1.0
Recall (loadmodule),0.0
F1-score (loadmodule),0.0
Precision (mailbomb),0.9833333333333333
Recall (mailbomb),1.0
F1-score (mailbomb),0.9915966386554621
Precision (mscan),0.9800995024875622
Recall (mscan),0.9899497487437185
F1-score (mscan),0.985
Precision (multihop),1.0
Recall (multihop),0.0
F1-score (multihop),0.0
Precision (named),0.5
Recall (named),0.3333333333333333
F1-score (named),0.4000000000000001
Precision (neptune),0.9938251543711408
Recall (neptune),1.0
F1-score (neptune),0.9969030154849224
Precision (nmap),0.9966887417218543
Recall (nmap),0.9616613418530351
F1-score (nmap),0.9788617886178862
Precision (normal),0.9966316880424926
Recall (normal),0.9983777821036922
F1-score (normal),0.9975039709552985
Precision (perl),0.5
Recall (perl),1.0
F1-score (perl),0.6666666666666666
Precision (phf),1.0
Recall (phf),1.0
F1-score (phf),1.0
Precision (pod),0.9411764705882352
Recall (pod),1.0
F1-score (pod),0.9696969696969697
Precision (portsweep),0.9813242784380306
Recall (portsweep),0.9352750809061489
F1-score (portsweep),0.9577464788732394
Precision (processtable),0.9927536231884058
Recall (processtable),1.0
F1-score (processtable),0.9963636363636363
Precision (ps),0.0
Recall (ps),0.0
F1-score (ps),0.0
Precision (rootkit),0.0
Recall (rootkit),0.0
F1-score (rootkit),0.0
Precision (saint),1.0
Recall (saint),0.75
F1-score (saint),0.8571428571428571
Precision (satan),0.9767711962833914
Recall (satan),0.9622425629290617
F1-score (satan),0.9694524495677234
Precision (sendmail),1.0
Recall (sendmail),0.0
F1-score (sendmail),0.0
Precision (smurf),1.0
Recall (smurf),1.0
F1-score (smurf),1.0
Precision (snmpgetattack),0.9722222222222222
Recall (snmpgetattack),0.9722222222222222
F1-score (snmpgetattack),0.9722222222222222
Precision (snmpguess),0.9846153846153846
Recall (snmpguess),0.9696969696969697
F1-score (snmpguess),0.9770992366412214
Precision (spy),1.0
Recall (spy),0.0
F1-score (spy),0.0
Precision (sqlattack),1.0
Recall (sqlattack),0.0
F1-score (sqlattack),0.0
Precision (teardrop),1.0
Recall (teardrop),1.0
F1-score (teardrop),1.0
Precision (udpstorm),1.0
Recall (udpstorm),0.0
F1-score (udpstorm),0.0
Precision (warezclient),1.0
Recall (warezclient),1.0
F1-score (warezclient),1.0
Precision (warezmaster),0.9947916666666666
Recall (warezmaster),0.9896373056994818
F1-score (warezmaster),0.9922077922077922
Precision (worm),1.0
Recall (worm),0.0
F1-score (worm),0.0
Precision (xlock),1.0
Recall (xlock),0.0
F1-score (xlock),0.0
Precision (xsnoop),1.0
Recall (xsnoop),0.0
F1-score (xsnoop),0.0
Precision (xterm),0.5
Recall (xterm),0.6666666666666666
F1-score (xterm),0.5714285714285715
