Metric,Value
Accuracy,0.9996277643967594
Precision (macro),0.9931103068899882
Recall (macro),0.9988966925880296
F1-score (macro),0.9958526929763719
AUC-ROC (macro),0.9995754734541442
Precision (Backdoor),1.0
Recall (Backdoor),0.9996620479891856
F1-score (Backdoor),0.9998309954368768
Precision (DDoS_HTTP),1.0
Recall (DDoS_HTTP),1.0
F1-score (DDoS_HTTP),1.0
Precision (DDoS_ICMP),1.0
Recall (DDoS_ICMP),1.0
F1-score (DDoS_ICMP),1.0
Precision (DDoS_TCP),0.9996747967479674
Recall (DDoS_TCP),1.0
F1-score (DDoS_TCP),0.9998373719303952
Precision (DDoS_UDP),1.0
Recall (DDoS_UDP),1.0
F1-score (DDoS_UDP),1.0
Precision (Fingerprinting),1.0
Recall (Fingerprinting),0.99609375
F1-score (Fingerprinting),0.9980430528375733
Precision (MITM),0.8983050847457626
Recall (MITM),0.9906542056074766
F1-score (MITM),0.9422222222222222
Precision (Normal),1.0
Recall (Normal),0.9987565625863498
F1-score (Normal),0.9993778945185595
Precision (Password),1.0
Recall (Password),1.0
F1-score (Password),1.0
Precision (Port_Scanning),1.0
Recall (Port_Scanning),0.9996264475158759
F1-score (Port_Scanning),0.9998131888660562
Precision (Ransomware),1.0
Recall (Ransomware),1.0
F1-score (Ransomware),1.0
Precision (SQL_injection),0.9996759559300065
Recall (SQL_injection),1.0
F1-score (SQL_injection),0.9998379517096094
Precision (Uploading),0.9993476842791911
Recall (Uploading),1.0
F1-score (Uploading),0.999673735725938
Precision (Vulnerability_scanner),1.0
Recall (Vulnerability_scanner),0.9990062934746605
F1-score (Vulnerability_scanner),0.9995028997514498
Precision (XSS),0.9996510816468946
Recall (XSS),0.9996510816468946
F1-score (XSS),0.9996510816468946
