Metric,Value
Accuracy,0.9942095340694856
Precision (macro),0.9580836832805824
Recall (macro),0.4800899392777055
F1-score (macro),0.475938212705158
Precision (apache2),1.0
Recall (apache2),0.995475113122172
F1-score (apache2),0.9977324263038548
Precision (back),0.9924050632911392
Recall (back),0.9924050632911392
F1-score (back),0.9924050632911392
Precision (buffer_overflow),1.0
Recall (buffer_overflow),0.0
F1-score (buffer_overflow),0.0
Precision (ftp_write),1.0
Recall (ftp_write),0.0
F1-score (ftp_write),0.0
Precision (guess_passwd),0.9973890339425588
Recall (guess_passwd),0.9922077922077922
F1-score (guess_passwd),0.9947916666666665
Precision (httptunnel),0.975
Recall (httptunnel),0.975
F1-score (httptunnel),0.975
Precision (imap),1.0
Recall (imap),0.0
F1-score (imap),0.0
Precision (ipsweep),0.9876760563380281
Recall (ipsweep),1.0
F1-score (ipsweep),0.9937998228520816
Precision (land),1.0
Recall (land),0.0
F1-score (land),0.0
Precision (loadmodule),1.0
Recall (loadmodule),0.0
F1-score (loadmodule),0.0
Precision (mailbomb),0.967032967032967
Recall (mailbomb),1.0
F1-score (mailbomb),0.9832402234636871
Precision (mscan),0.9581993569131833
Recall (mscan),0.9966555183946488
F1-score (mscan),0.9770491803278689
Precision (multihop),1.0
Recall (multihop),0.0
F1-score (multihop),0.0
Precision (named),1.0
Recall (named),0.0
F1-score (named),0.0
Precision (neptune),0.9997820401046208
Recall (neptune),0.9999273361430024
F1-score (neptune),0.99985468284531
Precision (nmap),0.985200845665962
Recall (nmap),0.9914893617021276
F1-score (nmap),0.9883351007423118
Precision (normal),0.9978825461302451
Recall (normal),0.9989185447938747
F1-score (normal),0.9984002767088936
Precision (perl),1.0
Recall (perl),0.0
F1-score (perl),0.0
Precision (phf),1.0
Recall (phf),0.0
F1-score (phf),0.0
Precision (pod),0.9358974358974359
Recall (pod),1.0
F1-score (pod),0.966887417218543
Precision (portsweep),0.984930032292788
Recall (portsweep),0.9881209503239741
F1-score (portsweep),0.986522911051213
Precision (processtable),0.9809523809523809
Recall (processtable),1.0
F1-score (processtable),0.9903846153846153
Precision (ps),1.0
Recall (ps),0.0
F1-score (ps),0.0
Precision (rootkit),0.0
Recall (rootkit),0.0
F1-score (rootkit),0.0
Precision (saint),1.0
Recall (saint),0.3020833333333333
F1-score (saint),0.464
Precision (satan),0.9454545454545454
Recall (satan),0.9923664122137404
F1-score (satan),0.9683426443202978
Precision (sendmail),1.0
Recall (sendmail),0.0
F1-score (sendmail),0.0
Precision (smurf),0.995987963891675
Recall (smurf),1.0
F1-score (smurf),0.9979899497487438
Precision (snmpgetattack),1.0
Recall (snmpgetattack),0.0
F1-score (snmpgetattack),0.0
Precision (snmpguess),0.6447368421052632
Recall (snmpguess),0.98989898989899
F1-score (snmpguess),0.7808764940239042
Precision (spy),1.0
Recall (spy),0.0
F1-score (spy),0.0
Precision (sqlattack),1.0
Recall (sqlattack),0.0
F1-score (sqlattack),0.0
Precision (teardrop),0.9963235294117647
Recall (teardrop),1.0
F1-score (teardrop),0.998158379373849
Precision (udpstorm),1.0
Recall (udpstorm),0.0
F1-score (udpstorm),0.0
Precision (warezclient),0.9888059701492538
Recall (warezclient),0.9925093632958801
F1-score (warezclient),0.9906542056074766
Precision (warezmaster),0.9896907216494846
Recall (warezmaster),0.9965397923875432
F1-score (warezmaster),0.993103448275862
Precision (worm),1.0
Recall (worm),0.0
F1-score (worm),0.0
Precision (xlock),1.0
Recall (xlock),0.0
F1-score (xlock),0.0
Precision (xsnoop),1.0
Recall (xsnoop),0.0
F1-score (xsnoop),0.0
Precision (xterm),1.0
Recall (xterm),0.0
F1-score (xterm),0.0
