Metric,Value
Accuracy,0.9960611365472664
Precision (macro),0.9098007281334225
Recall (macro),0.7963558120690312
F1-score (macro),0.815830268561493
Precision (apache2),1.0
Recall (apache2),0.9932432432432432
F1-score (apache2),0.9966101694915255
Precision (back),0.9962121212121212
Recall (back),1.0
F1-score (back),0.9981024667931688
Precision (buffer_overflow),0.875
Recall (buffer_overflow),0.7
F1-score (buffer_overflow),0.7777777777777777
Precision (ftp_write),0.6666666666666666
Recall (ftp_write),1.0
F1-score (ftp_write),0.8
Precision (guess_passwd),0.9961240310077519
Recall (guess_passwd),1.0
F1-score (guess_passwd),0.9980582524271845
Precision (httptunnel),1.0
Recall (httptunnel),0.9629629629629629
F1-score (httptunnel),0.9811320754716981
Precision (imap),1.0
Recall (imap),0.5
F1-score (imap),0.6666666666666666
Precision (ipsweep),1.0
Recall (ipsweep),1.0
F1-score (ipsweep),1.0
Precision (land),0.8333333333333334
Recall (land),1.0
F1-score (land),0.909090909090909
Precision (loadmodule),1.0
Recall (loadmodule),0.0
F1-score (loadmodule),0.0
Precision (mailbomb),1.0
Recall (mailbomb),1.0
F1-score (mailbomb),1.0
Precision (mscan),0.995
Recall (mscan),1.0
F1-score (mscan),0.9974937343358395
Precision (multihop),1.0
Recall (multihop),0.6
F1-score (multihop),0.7499999999999999
Precision (named),1.0
Recall (named),0.3333333333333333
F1-score (named),0.5
Precision (neptune),0.9996730957829356
Recall (neptune),1.0
F1-score (neptune),0.9998365211705086
Precision (nmap),0.9871794871794872
Recall (nmap),0.9840255591054313
F1-score (nmap),0.9856000000000001
Precision (normal),0.9988968918305107
Recall (normal),0.9988968918305107
F1-score (normal),0.9988968918305107
Precision (perl),1.0
Recall (perl),1.0
F1-score (perl),1.0
Precision (phf),1.0
Recall (phf),1.0
F1-score (phf),1.0
Precision (pod),0.9411764705882352
Recall (pod),1.0
F1-score (pod),0.9696969696969697
Precision (portsweep),0.9871589085072232
Recall (portsweep),0.9951456310679612
F1-score (portsweep),0.9911361804995971
Precision (processtable),0.9927536231884058
Recall (processtable),1.0
F1-score (processtable),0.9963636363636363
Precision (ps),1.0
Recall (ps),0.3333333333333333
F1-score (ps),0.5
Precision (rootkit),0.0
Recall (rootkit),0.0
F1-score (rootkit),0.0
Precision (saint),0.8333333333333334
Recall (saint),0.3125
F1-score (saint),0.45454545454545453
Precision (satan),0.9538968166849616
Recall (satan),0.994279176201373
F1-score (satan),0.9736694677871148
Precision (sendmail),1.0
Recall (sendmail),1.0
F1-score (sendmail),1.0
Precision (smurf),0.9954887218045113
Recall (smurf),1.0
F1-score (smurf),0.9977392614920875
Precision (snmpgetattack),0.8421052631578947
Recall (snmpgetattack),0.4444444444444444
F1-score (snmpgetattack),0.5818181818181818
Precision (snmpguess),0.7738095238095238
Recall (snmpguess),0.9848484848484849
F1-score (snmpguess),0.8666666666666668
Precision (spy),1.0
Recall (spy),0.0
F1-score (spy),0.0
Precision (sqlattack),0.0
Recall (sqlattack),0.0
F1-score (sqlattack),0.0
Precision (teardrop),1.0
Recall (teardrop),1.0
F1-score (teardrop),1.0
Precision (udpstorm),1.0
Recall (udpstorm),0.0
F1-score (udpstorm),0.0
Precision (warezclient),1.0
Recall (warezclient),1.0
F1-score (warezclient),1.0
Precision (warezmaster),0.9948186528497409
Recall (warezmaster),0.9948186528497409
F1-score (warezmaster),0.9948186528497409
Precision (worm),1.0
Recall (worm),0.0
F1-score (worm),0.0
Precision (xlock),1.0
Recall (xlock),1.0
F1-score (xlock),1.0
Precision (xsnoop),1.0
Recall (xsnoop),1.0
F1-score (xsnoop),1.0
Precision (xterm),1.0
Recall (xterm),0.3333333333333333
F1-score (xterm),0.5
