Metric,Value
Accuracy,0.9990910315109076
Precision (macro),0.9816281363317807
Recall (macro),0.8487444114054449
F1-score (macro),0.8671890684727354
Precision (apache2),1.0
Recall (apache2),0.9932432432432432
F1-score (apache2),0.9966101694915255
Precision (back),1.0
Recall (back),1.0
F1-score (back),1.0
Precision (buffer_overflow),0.875
Recall (buffer_overflow),0.7
F1-score (buffer_overflow),0.7777777777777777
Precision (ftp_write),1.0
Recall (ftp_write),1.0
F1-score (ftp_write),1.0
Precision (guess_passwd),1.0
Recall (guess_passwd),0.9961089494163424
F1-score (guess_passwd),0.9980506822612086
Precision (httptunnel),1.0
Recall (httptunnel),0.9629629629629629
F1-score (httptunnel),0.9811320754716981
Precision (imap),1.0
Recall (imap),1.0
F1-score (imap),1.0
Precision (ipsweep),1.0
Recall (ipsweep),1.0
F1-score (ipsweep),1.0
Precision (land),1.0
Recall (land),1.0
F1-score (land),1.0
Precision (loadmodule),1.0
Recall (loadmodule),0.5
F1-score (loadmodule),0.6666666666666666
Precision (mailbomb),1.0
Recall (mailbomb),1.0
F1-score (mailbomb),1.0
Precision (mscan),1.0
Recall (mscan),1.0
F1-score (mscan),1.0
Precision (multihop),1.0
Recall (multihop),0.6
F1-score (multihop),0.7499999999999999
Precision (named),1.0
Recall (named),0.6666666666666666
F1-score (named),0.8000000000000002
Precision (neptune),1.0
Recall (neptune),1.0
F1-score (neptune),1.0
Precision (nmap),1.0
Recall (nmap),1.0
F1-score (nmap),1.0
Precision (normal),0.9988332901218564
Recall (normal),0.9999351112841477
F1-score (normal),0.9993838970135219
Precision (perl),0.5
Recall (perl),1.0
F1-score (perl),0.6666666666666666
Precision (phf),1.0
Recall (phf),1.0
F1-score (phf),1.0
Precision (pod),0.9795918367346937
Recall (pod),1.0
F1-score (pod),0.9896907216494846
Precision (portsweep),1.0
Recall (portsweep),0.9983818770226537
F1-score (portsweep),0.9991902834008095
Precision (processtable),1.0
Recall (processtable),1.0
F1-score (processtable),1.0
Precision (ps),1.0
Recall (ps),0.0
F1-score (ps),0.0
Precision (rootkit),1.0
Recall (rootkit),0.2
F1-score (rootkit),0.33333333333333337
Precision (saint),1.0
Recall (saint),0.9375
F1-score (saint),0.967741935483871
Precision (satan),0.9954441913439637
Recall (satan),1.0
F1-score (satan),0.997716894977169
Precision (sendmail),1.0
Recall (sendmail),0.6666666666666666
F1-score (sendmail),0.8000000000000002
Precision (smurf),1.0
Recall (smurf),1.0
F1-score (smurf),1.0
Precision (snmpgetattack),1.0
Recall (snmpgetattack),1.0
F1-score (snmpgetattack),1.0
Precision (snmpguess),1.0
Recall (snmpguess),1.0
F1-score (snmpguess),1.0
Precision (spy),1.0
Recall (spy),0.0
F1-score (spy),0.0
Precision (sqlattack),1.0
Recall (sqlattack),0.0
F1-score (sqlattack),0.0
Precision (teardrop),1.0
Recall (teardrop),1.0
F1-score (teardrop),1.0
Precision (udpstorm),1.0
Recall (udpstorm),0.0
F1-score (udpstorm),0.0
Precision (warezclient),1.0
Recall (warezclient),1.0
F1-score (warezclient),1.0
Precision (warezmaster),0.9897435897435898
Recall (warezmaster),1.0
F1-score (warezmaster),0.9948453608247423
Precision (worm),1.0
Recall (worm),0.0
F1-score (worm),0.0
Precision (xlock),1.0
Recall (xlock),1.0
F1-score (xlock),1.0
Precision (xsnoop),1.0
Recall (xsnoop),0.0
F1-score (xsnoop),0.0
Precision (xterm),1.0
Recall (xterm),0.3333333333333333
F1-score (xterm),0.5
