Metric,Value
Accuracy,0.9998686241665845
Precision (macro),0.9999236709653258
Recall (macro),0.9998608236957515
F1-score (macro),0.999892227260393
AUC-ROC (macro),0.9999998887714544
Precision (Backdoor),1.0
Recall (Backdoor),0.9994931576279777
F1-score (Backdoor),0.999746514575412
Precision (DDoS_HTTP),1.0
Recall (DDoS_HTTP),1.0
F1-score (DDoS_HTTP),1.0
Precision (DDoS_ICMP),1.0
Recall (DDoS_ICMP),1.0
F1-score (DDoS_ICMP),1.0
Precision (DDoS_TCP),1.0
Recall (DDoS_TCP),1.0
F1-score (DDoS_TCP),1.0
Precision (DDoS_UDP),1.0
Recall (DDoS_UDP),1.0
F1-score (DDoS_UDP),1.0
Precision (Fingerprinting),1.0
Recall (Fingerprinting),1.0
F1-score (Fingerprinting),1.0
Precision (MITM),1.0
Recall (MITM),1.0
F1-score (MITM),1.0
Precision (Normal),0.9993786246893124
Recall (Normal),1.0
F1-score (Normal),0.9996892157878381
Precision (Password),1.0
Recall (Password),1.0
F1-score (Password),1.0
Precision (Port_Scanning),1.0
Recall (Port_Scanning),0.9994397759103641
F1-score (Port_Scanning),0.9997198094704399
Precision (Ransomware),1.0
Recall (Ransomware),1.0
F1-score (Ransomware),1.0
Precision (SQL_injection),1.0
Recall (SQL_injection),1.0
F1-score (SQL_injection),1.0
Precision (Uploading),1.0
Recall (Uploading),1.0
F1-score (Uploading),1.0
Precision (Vulnerability_scanner),1.0
Recall (Vulnerability_scanner),0.9995029821073559
F1-score (Vulnerability_scanner),0.9997514292816306
Precision (XSS),0.9994764397905759
Recall (XSS),0.9994764397905759
F1-score (XSS),0.9994764397905759
