Metric,Value
Accuracy,0.9933005655803933
Precision (macro),0.8954845905634414
Recall (macro),0.6740467212640159
F1-score (macro),0.6724565614830854
Precision (apache2),0.9864864864864865
Recall (apache2),0.9864864864864865
F1-score (apache2),0.9864864864864865
Precision (back),0.9961389961389961
Recall (back),0.9809885931558935
F1-score (back),0.9885057471264367
Precision (buffer_overflow),0.75
Recall (buffer_overflow),0.6
F1-score (buffer_overflow),0.6666666666666665
Precision (ftp_write),1.0
Recall (ftp_write),0.0
F1-score (ftp_write),0.0
Precision (guess_passwd),0.9884169884169884
Recall (guess_passwd),0.9961089494163424
F1-score (guess_passwd),0.9922480620155039
Precision (httptunnel),1.0
Recall (httptunnel),0.9629629629629629
F1-score (httptunnel),0.9811320754716981
Precision (imap),1.0
Recall (imap),0.5
F1-score (imap),0.6666666666666666
Precision (ipsweep),1.0
Recall (ipsweep),0.9959893048128342
F1-score (ipsweep),0.9979906229068988
Precision (land),0.625
Recall (land),1.0
F1-score (land),0.7692307692307693
Precision (loadmodule),1.0
Recall (loadmodule),0.0
F1-score (loadmodule),0.0
Precision (mailbomb),1.0
Recall (mailbomb),1.0
F1-score (mailbomb),1.0
Precision (mscan),0.970731707317073
Recall (mscan),1.0
F1-score (mscan),0.9851485148514851
Precision (multihop),1.0
Recall (multihop),0.0
F1-score (multihop),0.0
Precision (named),0.5
Recall (named),0.3333333333333333
F1-score (named),0.4000000000000001
Precision (neptune),0.9977161500815661
Recall (neptune),1.0
F1-score (neptune),0.9988567695574065
Precision (nmap),0.9867109634551494
Recall (nmap),0.9488817891373802
F1-score (nmap),0.9674267100977199
Precision (normal),0.9970834143496013
Recall (normal),0.9982480046719875
F1-score (normal),0.9976653696498055
Precision (perl),0.5
Recall (perl),1.0
F1-score (perl),0.6666666666666666
Precision (phf),1.0
Recall (phf),1.0
F1-score (phf),1.0
Precision (pod),0.9056603773584907
Recall (pod),1.0
F1-score (pod),0.9504950495049505
Precision (portsweep),0.9568000000000001
Recall (portsweep),0.9676375404530745
F1-score (portsweep),0.9621882542236525
Precision (processtable),0.9927536231884058
Recall (processtable),1.0
F1-score (processtable),0.9963636363636363
Precision (ps),1.0
Recall (ps),0.0
F1-score (ps),0.0
Precision (rootkit),0.0
Recall (rootkit),0.0
F1-score (rootkit),0.0
Precision (saint),1.0
Recall (saint),0.296875
F1-score (saint),0.4578313253012048
Precision (satan),0.946607341490545
Recall (satan),0.9736842105263158
F1-score (satan),0.9599548787366047
Precision (sendmail),1.0
Recall (sendmail),0.0
F1-score (sendmail),0.0
Precision (smurf),0.9954887218045113
Recall (smurf),1.0
F1-score (smurf),0.9977392614920875
Precision (snmpgetattack),0.8823529411764706
Recall (snmpgetattack),0.4166666666666667
F1-score (snmpgetattack),0.5660377358490566
Precision (snmpguess),0.7647058823529411
Recall (snmpguess),0.9848484848484849
F1-score (snmpguess),0.8609271523178808
Precision (spy),1.0
Recall (spy),0.0
F1-score (spy),0.0
Precision (sqlattack),1.0
Recall (sqlattack),0.0
F1-score (sqlattack),0.0
Precision (teardrop),1.0
Recall (teardrop),1.0
F1-score (teardrop),1.0
Precision (udpstorm),1.0
Recall (udpstorm),0.0
F1-score (udpstorm),0.0
Precision (warezclient),1.0
Recall (warezclient),1.0
F1-score (warezclient),1.0
Precision (warezmaster),0.9947916666666666
Recall (warezmaster),0.9896373056994818
F1-score (warezmaster),0.9922077922077922
Precision (worm),1.0
Recall (worm),0.0
F1-score (worm),0.0
Precision (xlock),1.0
Recall (xlock),0.0
F1-score (xlock),0.0
Precision (xsnoop),1.0
Recall (xsnoop),0.0
F1-score (xsnoop),0.0
Precision (xterm),0.5
Recall (xterm),0.3333333333333333
F1-score (xterm),0.4000000000000001
