Metric,Value
Accuracy,0.9839064604066082
Precision (macro),0.9840986262747303
Recall (macro),0.9420043161469872
F1-score (macro),0.9519696454166025
AUC-ROC (macro),0.9999255032357335
Precision (Backdoor),1.0
Recall (Backdoor),0.9994931576279777
F1-score (Backdoor),0.999746514575412
Precision (DDoS_HTTP),0.9497737556561086
Recall (DDoS_HTTP),1.0
F1-score (DDoS_HTTP),0.974239962868415
Precision (DDoS_ICMP),1.0
Recall (DDoS_ICMP),1.0
F1-score (DDoS_ICMP),1.0
Precision (DDoS_TCP),1.0
Recall (DDoS_TCP),1.0
F1-score (DDoS_TCP),1.0
Precision (DDoS_UDP),0.9853890587835542
Recall (DDoS_UDP),1.0
F1-score (DDoS_UDP),0.9926407667294199
Precision (Fingerprinting),0.9771428571428571
Recall (Fingerprinting),1.0
F1-score (Fingerprinting),0.9884393063583814
Precision (MITM),1.0
Recall (MITM),0.3472222222222222
F1-score (MITM),0.5154639175257731
Precision (Normal),0.9991714995857497
Recall (Normal),0.9997927461139896
F1-score (Normal),0.9994820263130632
Precision (Password),0.9894902785076195
Recall (Password),0.944332998996991
F1-score (Password),0.9663843982550681
Precision (Port_Scanning),1.0
Recall (Port_Scanning),0.9994397759103641
F1-score (Port_Scanning),0.9997198094704399
Precision (Ransomware),0.9989690721649485
Recall (Ransomware),1.0
F1-score (Ransomware),0.999484270242393
Precision (SQL_injection),0.9822714681440443
Recall (SQL_injection),0.861934856587263
F1-score (SQL_injection),0.918177110305541
Precision (Uploading),0.8824045634050022
Recall (Uploading),0.9843367596671562
F1-score (Uploading),0.9305876908838501
Precision (Vulnerability_scanner),1.0
Recall (Vulnerability_scanner),0.9940357852882704
F1-score (Vulnerability_scanner),0.9970089730807576
Precision (XSS),0.9968668407310705
Recall (XSS),0.9994764397905759
F1-score (XSS),0.9981699346405228
