Metric,Value
Accuracy,0.9960274710476703
Precision (macro),0.9186047345705699
Recall (macro),0.6790005747421362
F1-score (macro),0.668268681263703
Precision (apache2),1.0
Recall (apache2),0.9932432432432432
F1-score (apache2),0.9966101694915255
Precision (back),0.9962121212121212
Recall (back),1.0
F1-score (back),0.9981024667931688
Precision (buffer_overflow),0.6153846153846154
Recall (buffer_overflow),0.8
F1-score (buffer_overflow),0.6956521739130435
Precision (ftp_write),1.0
Recall (ftp_write),0.0
F1-score (ftp_write),0.0
Precision (guess_passwd),0.9961089494163424
Recall (guess_passwd),0.9961089494163424
F1-score (guess_passwd),0.9961089494163424
Precision (httptunnel),0.9629629629629629
Recall (httptunnel),0.9629629629629629
F1-score (httptunnel),0.9629629629629629
Precision (imap),1.0
Recall (imap),0.5
F1-score (imap),0.6666666666666666
Precision (ipsweep),1.0
Recall (ipsweep),1.0
F1-score (ipsweep),1.0
Precision (land),0.5555555555555556
Recall (land),1.0
F1-score (land),0.7142857142857143
Precision (loadmodule),1.0
Recall (loadmodule),0.0
F1-score (loadmodule),0.0
Precision (mailbomb),1.0
Recall (mailbomb),1.0
F1-score (mailbomb),1.0
Precision (mscan),1.0
Recall (mscan),1.0
F1-score (mscan),1.0
Precision (multihop),0.4166666666666667
Recall (multihop),1.0
F1-score (multihop),0.5882352941176471
Precision (named),1.0
Recall (named),0.0
F1-score (named),0.0
Precision (neptune),0.9993464052287583
Recall (neptune),1.0
F1-score (neptune),0.9996730957829356
Precision (nmap),0.9936305732484076
Recall (nmap),0.9968051118210862
F1-score (nmap),0.9952153110047847
Precision (normal),0.9996754089846794
Recall (normal),0.9992213354097722
F1-score (normal),0.9994483206230731
Precision (perl),1.0
Recall (perl),0.0
F1-score (perl),0.0
Precision (phf),1.0
Recall (phf),0.0
F1-score (phf),0.0
Precision (pod),0.9591836734693877
Recall (pod),0.9791666666666666
F1-score (pod),0.9690721649484536
Precision (portsweep),0.9983844911147013
Recall (portsweep),1.0
F1-score (portsweep),0.9991915925626517
Precision (processtable),1.0
Recall (processtable),1.0
F1-score (processtable),1.0
Precision (ps),0.6666666666666666
Recall (ps),0.6666666666666666
F1-score (ps),0.6666666666666666
Precision (rootkit),0.5
Recall (rootkit),0.4
F1-score (rootkit),0.4444444444444445
Precision (saint),1.0
Recall (saint),0.3125
F1-score (saint),0.47619047619047616
Precision (satan),0.9519125683060109
Recall (satan),0.9965675057208238
F1-score (satan),0.9737283398546673
Precision (sendmail),1.0
Recall (sendmail),0.6666666666666666
F1-score (sendmail),0.8000000000000002
Precision (smurf),0.993993993993994
Recall (smurf),1.0
F1-score (smurf),0.9969879518072289
Precision (snmpgetattack),0.7777777777777778
Recall (snmpgetattack),0.19444444444444445
F1-score (snmpgetattack),0.3111111111111111
Precision (snmpguess),0.6914893617021277
Recall (snmpguess),0.9848484848484849
F1-score (snmpguess),0.8125000000000001
Precision (spy),1.0
Recall (spy),0.0
F1-score (spy),0.0
Precision (sqlattack),1.0
Recall (sqlattack),0.0
F1-score (sqlattack),0.0
Precision (teardrop),1.0
Recall (teardrop),1.0
F1-score (teardrop),1.0
Precision (udpstorm),1.0
Recall (udpstorm),0.0
F1-score (udpstorm),0.0
Precision (warezclient),1.0
Recall (warezclient),1.0
F1-score (warezclient),1.0
Precision (warezmaster),0.9948186528497409
Recall (warezmaster),0.9948186528497409
F1-score (warezmaster),0.9948186528497409
Precision (worm),1.0
Recall (worm),0.0
F1-score (worm),0.0
Precision (xlock),1.0
Recall (xlock),0.0
F1-score (xlock),0.0
Precision (xsnoop),1.0
Recall (xsnoop),0.0
F1-score (xsnoop),0.0
Precision (xterm),1.0
Recall (xterm),0.0
F1-score (xterm),0.0
