Unnamed: 0,Accuracy,Precision (macro),Recall (macro),F1-score (macro),AUC-ROC (macro),Precision (BENIGN),Recall (BENIGN),F1-score (BENIGN),Precision (Bot),Recall (Bot),F1-score (Bot),Precision (DDoS),Recall (DDoS),F1-score (DDoS),Precision (DoS GoldenEye),Recall (DoS GoldenEye),F1-score (DoS GoldenEye),Precision (DoS Hulk),Recall (DoS Hulk),F1-score (DoS Hulk),Precision (DoS Slowhttptest),Recall (DoS Slowhttptest),F1-score (DoS Slowhttptest),Precision (DoS slowloris),Recall (DoS slowloris),F1-score (DoS slowloris),Precision (FTP-Patator),Recall (FTP-Patator),F1-score (FTP-Patator),Precision (Heartbleed),Recall (Heartbleed),F1-score (Heartbleed),Precision (Infiltration),Recall (Infiltration),F1-score (Infiltration),Precision (PortScan),Recall (PortScan),F1-score (PortScan),Precision (SSH-Patator),Recall (SSH-Patator),F1-score (SSH-Patator),Precision (Web Attack � Brute Force),Recall (Web Attack � Brute Force),F1-score (Web Attack � Brute Force),Precision (Web Attack � Sql Injection),Recall (Web Attack � Sql Injection),F1-score (Web Attack � Sql Injection),Precision (Web Attack � XSS),Recall (Web Attack � XSS),F1-score (Web Attack � XSS),Model,Dataset,Precision (Backdoor),Recall (Backdoor),F1-score (Backdoor),Precision (DDoS_HTTP),Recall (DDoS_HTTP),F1-score (DDoS_HTTP),Precision (DDoS_ICMP),Recall (DDoS_ICMP),F1-score (DDoS_ICMP),Precision (DDoS_TCP),Recall (DDoS_TCP),F1-score (DDoS_TCP),Precision (DDoS_UDP),Recall (DDoS_UDP),F1-score (DDoS_UDP),Precision (Fingerprinting),Recall (Fingerprinting),F1-score (Fingerprinting),Precision (MITM),Recall (MITM),F1-score (MITM),Precision (Normal),Recall (Normal),F1-score (Normal),Precision (Password),Recall (Password),F1-score (Password),Precision (Port_Scanning),Recall (Port_Scanning),F1-score (Port_Scanning),Precision (Ransomware),Recall (Ransomware),F1-score (Ransomware),Precision (SQL_injection),Recall (SQL_injection),F1-score (SQL_injection),Precision (Uploading),Recall (Uploading),F1-score (Uploading),Precision (Vulnerability_scanner),Recall (Vulnerability_scanner),F1-score (Vulnerability_scanner),Precision (XSS),Recall (XSS),F1-score (XSS),Precision (apache2),Recall (apache2),F1-score (apache2),Precision (back),Recall (back),F1-score (back),Precision (buffer_overflow),Recall (buffer_overflow),F1-score (buffer_overflow),Precision (ftp_write),Recall (ftp_write),F1-score (ftp_write),Precision (guess_passwd),Recall (guess_passwd),F1-score (guess_passwd),Precision (httptunnel),Recall (httptunnel),F1-score (httptunnel),Precision (imap),Recall (imap),F1-score (imap),Precision (ipsweep),Recall (ipsweep),F1-score (ipsweep),Precision (land),Recall (land),F1-score (land),Precision (loadmodule),Recall (loadmodule),F1-score (loadmodule),Precision (mailbomb),Recall (mailbomb),F1-score (mailbomb),Precision (mscan),Recall (mscan),F1-score (mscan),Precision (multihop),Recall (multihop),F1-score (multihop),Precision (named),Recall (named),F1-score (named),Precision (neptune),Recall (neptune),F1-score (neptune),Precision (nmap),Recall (nmap),F1-score (nmap),Precision (normal),Recall (normal),F1-score (normal),Precision (perl),Recall (perl),F1-score (perl),Precision (phf),Recall (phf),F1-score (phf),Precision (pod),Recall (pod),F1-score (pod),Precision (portsweep),Recall (portsweep),F1-score (portsweep),Precision (processtable),Recall (processtable),F1-score (processtable),Precision (ps),Recall (ps),F1-score (ps),Precision (rootkit),Recall (rootkit),F1-score (rootkit),Precision (saint),Recall (saint),F1-score (saint),Precision (satan),Recall (satan),F1-score (satan),Precision (sendmail),Recall (sendmail),F1-score (sendmail),Precision (smurf),Recall (smurf),F1-score (smurf),Precision (snmpgetattack),Recall (snmpgetattack),F1-score (snmpgetattack),Precision (snmpguess),Recall (snmpguess),F1-score (snmpguess),Precision (spy),Recall (spy),F1-score (spy),Precision (sqlattack),Recall (sqlattack),F1-score (sqlattack),Precision (teardrop),Recall (teardrop),F1-score (teardrop),Precision (udpstorm),Recall (udpstorm),F1-score (udpstorm),Precision (warezclient),Recall (warezclient),F1-score (warezclient),Precision (warezmaster),Recall (warezmaster),F1-score (warezmaster),Precision (worm),Recall (worm),F1-score (worm),Precision (xlock),Recall (xlock),F1-score (xlock),Precision (xsnoop),Recall (xsnoop),F1-score (xsnoop),Precision (xterm),Recall (xterm),F1-score (xterm),Precision (Analysis),Recall (Analysis),F1-score (Analysis),Precision (DoS),Recall (DoS),F1-score (DoS),Precision (Exploits),Recall (Exploits),F1-score (Exploits),Precision (Fuzzers),Recall (Fuzzers),F1-score (Fuzzers),Precision (Generic),Recall (Generic),F1-score (Generic),Precision (Reconnaissance),Recall (Reconnaissance),F1-score (Reconnaissance),Precision (Shellcode),Recall (Shellcode),F1-score (Shellcode),Precision (Worms),Recall (Worms),F1-score (Worms)
Value,0.8600319183540701,0.1629155141012645,0.2588809016852398,0.1964549833451569,0.6446717531761925,0.9010613159856026,0.9928004430496584,0.9447089466351688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5781501610305958,0.890413082228939,0.7010831426392068,0.0,0.0,0.0,0.0,0.0,0.0,0.4645212345027697,1.0,0.6343659942363112,0.5,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adaboost,CICIDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value,0.4045106196627983,0.9417488621151272,0.2666513374722158,0.2149368962452991,0.7351403852655046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adaboost,EdgeIIoT,1.0,1.0,1.0,1.0,0.0,0.0,0.1262329317269076,1.0,0.2241684258572488,1.0,0.0,0.0,1.0,0.9997700620832376,0.9998850178222376,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value,0.8571909507137085,0.975063287933356,0.1111111111111111,0.0928521316711959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adaboost,NSL_KDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8178657395025408,1.0,0.8998087391496248,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.2844126260982753,1.0,0.4428680010134278,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Value,0.789919028340081,0.3824201359787672,0.4116909230746238,0.3917471799044479,0.7925773134689325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adaboost,UNSW_NB15,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.995915927881263,0.8969229389073293,0.9438308316812992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.1512287334593572,0.2025316455696202,0.1731601731601731,0.5434262948207171,0.610381861575179,0.5749613601236476,0.5196879643387816,0.7767906718489728,0.6227464945470732,0.9840464104423496,0.963265306122449,0.9735449735449734,0.4257075471698113,0.3392857142857143,0.3776150627615062,0.2041884816753926,0.3277310924369748,0.2516129032258064,0.0,0.0,0.0
Value,0.981758762299748,0.8862649504917652,0.7447986824876428,0.7757873955469179,0.9945846432780346,0.9851945347259474,0.9937361944835224,0.989446930419461,0.8389423076923077,0.6017241379310345,0.7008032128514057,0.9991698661409152,0.994525924395786,0.9968424866711528,0.9948353776630084,0.9890885750962772,0.9919536530415192,0.9533659549228944,0.9965899403239556,0.9744988821946876,0.9532587228439764,0.9354005167958656,0.944245190740137,0.9485549132947976,0.9915407854984896,0.9695716395864106,0.9965870307167236,0.9948892674616696,0.9957374254049446,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.9547636632200888,0.765167209233501,0.8495153606045672,0.996629213483146,0.912551440329218,0.9527389903329752,0.6726726726726727,0.4705882352941176,0.553770086526576,0.0,0.0,0.0,1.0,0.0261780104712041,0.0510204081632653,CNN,CICIDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value,0.9999343120832924,0.9999302649930264,0.9999337309476476,0.9999319632480108,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CNN,EdgeIIoT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9990059642147118,0.9995027349577325,0.9989539748953976,1.0,0.999476713762428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value,0.9981147320226232,0.8863753668903986,0.8546745751053098,0.8574663213582585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CNN,NSL_KDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.9932432432432432,0.9966101694915256,0.9962121212121212,1.0,0.9981024667931688,0.875,0.7,0.7777777777777777,0.3333333333333333,0.5,0.4,0.9884615384615384,1.0,0.9941972920696324,1.0,0.9629629629629628,0.981132075471698,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.995,1.0,0.9974937343358397,1.0,0.8,0.888888888888889,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.999890996293874,0.999945495176323,1.0,1.0,1.0,0.9996107939802802,0.9999351112841476,0.999772926330814,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9935587761674718,0.9983818770226536,0.9959644874899112,0.9927536231884058,1.0,0.9963636363636365,1.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.7534246575342466,0.859375,0.8029197080291972,0.9918509895227008,0.9748283752860412,0.9832660126947488,0.5,0.6666666666666666,0.5714285714285715,0.9954887218045112,1.0,0.9977392614920876,1.0,1.0,1.0,1.0,0.9848484848484848,0.9923664122137404,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.9948186528497408,0.9948186528497408,0.9948186528497408,1.0,0.0,0.0,1.0,0.5,0.6666666666666666,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,
Value,0.8874493927125506,0.5990808847630609,0.4820815764995315,0.4934710819570167,0.9791212851593336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CNN,UNSW_NB15,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.9931120851596744,0.9959630393827936,0.9945355191256832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6842105263157894,0.0619047619047619,0.1135371179039301,0.3919597989949748,0.0658227848101265,0.1127167630057803,0.5966272533436713,0.9182577565632458,0.7232992597814593,0.792368125701459,0.7840088839533592,0.7881663410549816,0.9950738916256158,0.9678793256433008,0.981288233177402,0.9084249084249084,0.6992481203007519,0.7902283590015933,0.6290322580645161,0.3277310924369748,0.430939226519337,0.0,0.0,0.0
Value,0.9966201105960804,0.8829978119660293,0.8866501747207202,0.8842004524262543,0.9431163500429888,0.9987841132620776,0.998745965765502,0.9987650391495322,0.9070945945945946,0.9258620689655171,0.916382252559727,0.9991735537190082,0.9989671555463748,0.99907034397273,0.995195387572069,0.9971116816431322,0.9961526130169924,0.9968226906385615,0.9968999457490506,0.9968613166970202,0.9871216999356084,0.9903100775193798,0.9887133182844242,0.99455205811138,0.992749244712991,0.9936498336861204,1.0,0.9977285633162976,0.9988629903354178,1.0,1.0,1.0,0.8181818181818182,0.75,0.7826086956521738,0.987414865265028,0.9868304232021308,0.9871225577264652,1.0,1.0,1.0,0.7606263982102908,0.7142857142857143,0.7367280606717227,0.4,0.5,0.4444444444444445,0.4,0.450261780104712,0.4236453201970442,DecisionTree,CICIDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value,0.9999343120832924,0.9995869578081544,0.999051085568327,0.9993152147643872,0.999523243967772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DecisionTree,EdgeIIoT,1.0,1.0,1.0,1.0,1.0,1.0,0.999618320610687,1.0,0.9998091238786028,1.0,1.0,1.0,1.0,0.9996551724137932,0.9998275564752545,0.994186046511628,1.0,0.9970845481049564,1.0,0.9861111111111112,0.9930069930069928,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
